DATE,TIME PERIOD,Bank interest rates - loans to households for house purchase (new business) - Netherlands (MIR.M.NL.B.A2C.A.R.A.2250.EUR.N),,,,,,
31.01.96,1996Jan,5.873,,,,,,
29.02.96,1996Feb,6.217,,,,,,
31.03.96,1996Mar,6.448,,,,,,
30.04.96,1996Apr,6.343,,,,,,
31.05.96,1996May,6.344,,,,,,
30.06.96,1996Jun,6.465,,,,,,
31.07.96,1996Jul,6.41,,,,,,
31.08.96,1996Aug,6.242,,,,,,
30.09.96,1996Sep,6.102,,,,,,
31.10.96,1996Oct,5.879,,,,,,
30.11.96,1996Nov,5.76,,,,,,
31.12.96,1996Dec,5.715,,,,,,
31.01.97,1997Jan,5.657,,,,,,
28.02.97,1997Feb,5.474,,,,,,
31.03.97,1997Mar,5.656,,,,,,
30.04.97,1997Apr,5.791,,,,,,
31.05.97,1997May,5.688,,,,,,
30.06.97,1997Jun,5.618,,,,,,
31.07.97,1997Jul,5.488,,,,,,
31.08.97,1997Aug,5.604,,,,,,
30.09.97,1997Sep,5.554,,,,,,
31.10.97,1997Oct,5.567,,,,,,
30.11.97,1997Nov,5.538,,,,,,
31.12.97,1997Dec,5.284,,,,,,
31.01.98,1998Jan,5.08,,,,,,
28.02.98,1998Feb,5.014,,,,,,
31.03.98,1998Mar,4.94,,,,,,
30.04.98,1998Apr,4.946,,,,,,
31.05.98,1998May,4.998,,,,,,
30.06.98,1998Jun,4.85,,,,,,
31.07.98,1998Jul,4.763,,,,,,
31.08.98,1998Aug,4.533,,,,,,
30.09.98,1998Sep,4.192,,,,,,
31.10.98,1998Oct,4.143,,,,,,
30.11.98,1998Nov,4.185,,,,,,
31.12.98,1998Dec,3.959,,,,,,
31.01.99,1999Jan,3.807,,,,,,
28.02.99,1999Feb,3.932,,,,,,
31.03.99,1999Mar,4.139,,,,,,
30.04.99,1999Apr,4.006,,,,,,
31.05.99,1999May,4.193,,,,,,
30.06.99,1999Jun,4.513,,,,,,
31.07.99,1999Jul,4.82,,,,,,
31.08.99,1999Aug,5.03,,,,,,
30.09.99,1999Sep,5.215,,,,,,
31.10.99,1999Oct,5.45,,,,,,
30.11.99,1999Nov,5.178,,,,,,
31.12.99,1999Dec,5.284,,,,,,
31.01.00,2000Jan,5.89,,,,,,
29.02.00,2000Feb,6,,,,,,
31.03.00,2000Mar,6,,,,,,
30.04.00,2000Apr,6,,,,,,
31.05.00,2000May,6.1,,,,,,
30.06.00,2000Jun,6.2,,,,,,
31.07.00,2000Jul,6.19,,,,,,
31.08.00,2000Aug,6.19,,,,,,
30.09.00,2000Sep,6.25,,,,,,
31.10.00,2000Oct,6.25,,,,,,
30.11.00,2000Nov,6.21,,,,,,
31.12.00,2000Dec,6.18,,,,,,
31.01.01,2001Jan,5.91,,,,,,
28.02.01,2001Feb,5.76,,,,,,
31.03.01,2001Mar,5.76,,,,,,
30.04.01,2001Apr,5.68,,,,,,
31.05.01,2001May,5.62,,,,,,
30.06.01,2001Jun,5.67,,,,,,
31.07.01,2001Jul,5.69,,,,,,
31.08.01,2001Aug,5.6,,,,,,
30.09.01,2001Sep,5.5,,,,,,
31.10.01,2001Oct,5.35,,,,,,
30.11.01,2001Nov,5.17,,,,,,
31.12.01,2001Dec,5.15,,,,,,
31.01.02,2002Jan,5.31,,,,,,
28.02.02,2002Feb,5.36,,,,,,
31.03.02,2002Mar,5.59,,,,,,
30.04.02,2002Apr,5.79,,,,,,
31.05.02,2002May,5.81,,,,,,
30.06.02,2002Jun,5.79,,,,,,
31.07.02,2002Jul,5.65,,,,,,
31.08.02,2002Aug,5.49,,,,,,
30.09.02,2002Sep,5.29,,,,,,
31.10.02,2002Oct,5.09,,,,,,
30.11.02,2002Nov,5.05,,,,,,
31.12.02,2002Dec,5,,,,,,
31.01.03,2003Jan,4.84,,,,,,
28.02.03,2003Feb,4.69,,,,,,
31.03.03,2003Mar,4.55,,,,,,
30.04.03,2003Apr,4.55,,,,,,
31.05.03,2003May,4.57,,,,,,
30.06.03,2003Jun,4.34,,,,,,
31.07.03,2003Jul,4.26,,,,,,
31.08.03,2003Aug,4.3,,,,,,
30.09.03,2003Sep,4.4,,,,,,
31.10.03,2003Oct,4.47,,,,,,
30.11.03,2003Nov,4.51,,,,,,
31.12.03,2003Dec,4.51,,,,,,
31.01.04,2004Jan,4.45,,,,,,
29.02.04,2004Feb,4.45,,,,,,
31.03.04,2004Mar,4.28,,,,,,
30.04.04,2004Apr,4.12,,,,,,
31.05.04,2004May,4.16,,,,,,
30.06.04,2004Jun,4.16,,,,,,
31.07.04,2004Jul,4.21,,,,,,
31.08.04,2004Aug,4.24,,,,,,
30.09.04,2004Sep,4.17,,,,,,
31.10.04,2004Oct,4.15,,,,,,
30.11.04,2004Nov,3.96,,,,,,
31.12.04,2004Dec,3.77,,,,,,
31.01.05,2005Jan,3.74,,,,,,
28.02.05,2005Feb,3.76,,,,,,
31.03.05,2005Mar,3.74,,,,,,
30.04.05,2005Apr,3.8,,,,,,
31.05.05,2005May,3.84,,,,,,
30.06.05,2005Jun,3.73,,,,,,
31.07.05,2005Jul,3.69,,,,,,
31.08.05,2005Aug,3.75,,,,,,
30.09.05,2005Sep,3.7,,,,,,
