DATE,TIME PERIOD,NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.NL.Z0Z.4F.EC.SS_CIN.IDX)
05.01.99,05. Jan 99,0.1699
06.01.99,06. Jan 99,0.1762
07.01.99,07. Jan 99,0.2069
08.01.99,08. Jan 99,0.2111
11.01.99,11. Jan 99,0.2553
12.01.99,12. Jan 99,0.2613
13.01.99,13. Jan 99,0.3361
14.01.99,14. Jan 99,0.351
15.01.99,15. Jan 99,0.3534
18.01.99,18. Jan 99,0.3475
19.01.99,19. Jan 99,0.3313
20.01.99,20. Jan 99,0.3101
21.01.99,21. Jan 99,0.3065
22.01.99,22. Jan 99,0.2928
25.01.99,25. Jan 99,0.2637
26.01.99,26. Jan 99,0.2277
27.01.99,27. Jan 99,0.2006
28.01.99,28. Jan 99,0.1955
29.01.99,29. Jan 99,0.1784
01.02.99,01. Feb 99,0.1675
02.02.99,02. Feb 99,0.1733
03.02.99,03. Feb 99,0.1542
04.02.99,04. Feb 99,0.1426
05.02.99,05. Feb 99,0.1349
08.02.99,08. Feb 99,0.129
09.02.99,09. Feb 99,0.1438
10.02.99,10. Feb 99,0.1357
11.02.99,11. Feb 99,0.1329
12.02.99,12. Feb 99,0.1324
15.02.99,15. Feb 99,0.1376
16.02.99,16. Feb 99,0.1432
17.02.99,17. Feb 99,0.1447
18.02.99,18. Feb 99,0.1462
19.02.99,19. Feb 99,0.1367
22.02.99,22. Feb 99,0.1328
23.02.99,23. Feb 99,0.1249
24.02.99,24. Feb 99,0.1247
25.02.99,25. Feb 99,0.138
26.02.99,26. Feb 99,0.1393
01.03.99,01. Mar 99,0.1525
02.03.99,02. Mar 99,0.1577
03.03.99,03. Mar 99,0.1619
04.03.99,04. Mar 99,0.1605
05.03.99,05. Mar 99,0.1856
08.03.99,08. Mar 99,0.1769
09.03.99,09. Mar 99,0.1649
10.03.99,10. Mar 99,0.148
11.03.99,11. Mar 99,0.1511
12.03.99,12. Mar 99,0.1552
15.03.99,15. Mar 99,0.1753
16.03.99,16. Mar 99,0.1787
17.03.99,17. Mar 99,0.1744
18.03.99,18. Mar 99,0.1631
19.03.99,19. Mar 99,0.1672
22.03.99,22. Mar 99,0.1557
23.03.99,23. Mar 99,0.1663
24.03.99,24. Mar 99,0.1704
25.03.99,25. Mar 99,0.1577
26.03.99,26. Mar 99,0.153
29.03.99,29. Mar 99,0.1482
30.03.99,30. Mar 99,0.1376
31.03.99,31. Mar 99,0.1284
01.04.99,01. Apr 99,0.1263
02.04.99,02. Apr 99,0.1278
05.04.99,05. Apr 99,0.1153
06.04.99,06. Apr 99,0.129
07.04.99,07. Apr 99,0.1129
08.04.99,08. Apr 99,0.0979
09.04.99,09. Apr 99,0.1177
12.04.99,12. Apr 99,0.104
13.04.99,13. Apr 99,0.1015
14.04.99,14. Apr 99,0.0957
15.04.99,15. Apr 99,0.0906
16.04.99,16. Apr 99,0.098
19.04.99,19. Apr 99,0.109
20.04.99,20. Apr 99,0.1025
21.04.99,21. Apr 99,0.0964
22.04.99,22. Apr 99,0.0889
23.04.99,23. Apr 99,0.0769
26.04.99,26. Apr 99,0.0695
27.04.99,27. Apr 99,0.0703
28.04.99,28. Apr 99,0.0572
29.04.99,29. Apr 99,0.0498
30.04.99,30. Apr 99,0.0428
03.05.99,03. May 99,0.037
04.05.99,04. May 99,0.0437
05.05.99,05. May 99,0.0417
06.05.99,06. May 99,0.0604
07.05.99,07. May 99,0.0649
10.05.99,10. May 99,0.063
11.05.99,11. May 99,0.0571
12.05.99,12. May 99,0.0534
13.05.99,13. May 99,0.0447
14.05.99,14. May 99,0.0441
17.05.99,17. May 99,0.0444
18.05.99,18. May 99,0.0413
19.05.99,19. May 99,0.0374
20.05.99,20. May 99,0.0338
21.05.99,21. May 99,0.0317
24.05.99,24. May 99,0.0249
25.05.99,25. May 99,0.0192
26.05.99,26. May 99,0.0179
27.05.99,27. May 99,0.017
28.05.99,28. May 99,0.0169
31.05.99,31. May 99,0.0146
01.06.99,01. Jun 99,0.0153
02.06.99,02. Jun 99,0.0172
03.06.99,03. Jun 99,0.0149
04.06.99,04. Jun 99,0.0142
07.06.99,07. Jun 99,0.0148
08.06.99,08. Jun 99,0.0172
09.06.99,09. Jun 99,0.0161
10.06.99,10. Jun 99,0.0236
11.06.99,11. Jun 99,0.0211
14.06.99,14. Jun 99,0.0211
15.06.99,15. Jun 99,0.0188
16.06.99,16. Jun 99,0.0162
17.06.99,17. Jun 99,0.0175
18.06.99,18. Jun 99,0.0195
21.06.99,21. Jun 99,0.0237
22.06.99,22. Jun 99,0.0155
23.06.99,23. Jun 99,0.0174
24.06.99,24. Jun 99,0.0147
25.06.99,25. Jun 99,0.0112
28.06.99,28. Jun 99,0.0107
29.06.99,29. Jun 99,0.0108
30.06.99,30. Jun 99,0.0092
01.07.99,01. Jul 99,0.0123
02.07.99,02. Jul 99,0.011
05.07.99,05. Jul 99,0.0144
06.07.99,06. Jul 99,0.0151
07.07.99,07. Jul 99,0.0192
08.07.99,08. Jul 99,0.015
